id,text,STOPWORD,Cleaned,sentiment,VaderScore
9.83E+17,visited membership camps in qadirpur rawan and kotla tolay khan in multan seeking support for peaceful prosperous progressive pakistan joinppp pictwittercomuwrvtiuzp,visited membership camps qadirpur rawan kotla tolay khan multan seeking support peaceful prosperous progressive pakistan joinppp pictwittercomuwrvtiuzp,visited membership camps qadirpur rawan kotla tolay khan multan seeking support peaceful prosperous progressive pakistan joinppp pictwittercomuwrvtiuzp,positive,positive
9.82E+17,out and about in larkano last night pictwittercomelokayxa,larkano last night pictwittercomelokayxa,larkano last night pictwittercomelokayxa,neutral,neutral
9.82E+17,inside pakistans most famous murder trial daily times via ,inside pakistans famous murder trial daily times via,inside pakistans famous murder trial daily times via,positive,negative
9.82E+17,zulfiqar ali bhutto is still ruling the hearts of the people ,zulfiqar ali bhutto still ruling hearts people,zulfiqar ali bhutto still ruling hearts people,neutral,positive
9.82E+17, years since the judicial murder of shaheed zulfikar ali bhutto we still await justice insaf dou insaf dou bhutto shaheed ko insaf dou aajbhibhuttozindahai pictwittercomjujiltzuj,years since judicial murder shaheed zulfikar ali bhutto still await justice insaf dou insaf dou bhutto shaheed ko insaf dou aajbhibhuttozindahai pictwittercomjujiltzuj,years since judicial murder shaheed zulfikar ali bhutto still await justice insaf dou insaf dou bhutto shaheed ko insaf dou aajbhibhuttozindahai pictwittercomjujiltzuj,neutral,negative
9.81E+17,happybirthdaydt continues its proud tradition of providing space to progressive voices in pakistani media,happybirthdaydt continues proud tradition providing space progressive voices pakistani media,happybirthdaydt continues proud tradition providing space progressive voices pakistani media,positive,positive
9.81E+17,although ppp has been victim of media bias condemn reports of recent shut down of geo news freedom of speech is fundamental to democracy and accountability,although ppp victim media bias condemn reports recent shut geo news freedom speech fundamental democracy accountability,although ppp victim media bias condemn reports recent shut geo news freedom speech fundamental democracy accountability,negative,neutral
9.80E+17,happy to join christian pakistanis in their easter celebrations in hyderabad today wish everyone celebrating very happy easter pictwittercomwbzoxvvxc,happy join christian pakistanis easter celebrations hyderabad today wish everyone celebrating happy easter pictwittercomwbzoxvvxc,happy join christian pakistanis easter celebrations hyderabad today wish everyone celebrating happy easter pictwittercomwbzoxvvxc,positive,positive
9.80E+17,met with and offered condolence to the family of jami saqi sb remembered his indelible contribution to the cause of an egalitarian pakistan pictwittercomwoymrbcjpt,met offered condolence family jami saqi sb remembered indelible contribution cause egalitarian pakistan pictwittercomwoymrbcjpt,met offered condolence family jami saqi sb remembered indelible contribution cause egalitarian pakistan pictwittercomwoymrbcjpt,neutral,neutral
9.80E+17,proud to inaugurate kms fresh water pipeline in barren achro thar sanghar in keeping with ppp commitment to serve the people thank you sanghar for the warm welcome khidmatmainsabseyaagey sindh pictwittercomnspnsep,proud inaugurate kms fresh water pipeline barren achro thar sanghar keeping ppp commitment serve people thank sanghar warm welcome khidmatmainsabseyaagey sindh pictwittercomnspnsep,proud inaugurate kms fresh water pipeline barren achro thar sanghar keeping ppp commitment serve people thank sanghar warm welcome khidmatmainsabseyaagey sindh pictwittercomnspnsep,positive,positive
